,Title,Abstract,Link
0,DeepCCI: End-to-end Deep Learning for Chemical-Chemical Interaction Prediction,"Chemical-chemical interaction (CCI) plays a key role in predicting candidate
drugs, toxicity, therapeutic effects, and biological functions. In various
types of chemical analyses, computational approaches are often required due to
the amount of data that needs to be handled. The recent remarkable growth and
outstanding performance of deep learning have attracted considerable research
attention. However,even in state-of-the-art drug analysis methods, deep
learning continues to be used only as a classifier, although deep learning is
capable of not only simple classification but also automated feature
extraction. In this paper, we propose the first end-to-end learning method for
CCI, named DeepCCI. Hidden features are derived from a simplified molecular
input line entry system (SMILES), which is a string notation representing the
chemical structure, instead of learning from crafted features. To discover
hidden representations for the SMILES strings, we use convolutional neural
networks (CNNs). To guarantee the commutative property for homogeneous
interaction, we apply model sharing and hidden representation merging
techniques. The performance of DeepCCI was compared with a plain deep
classifier and conventional machine learning methods. The proposed DeepCCI
showed the best performance in all seven evaluation metrics used. In addition,
the commutative property was experimentally validated. The automatically
extracted features through end-to-end SMILES learning alleviates the
significant efforts required for manual feature engineering. It is expected to
improve prediction performance, in drug analyses.",http://arxiv.org/abs/1704.08432v3
1,Accelerating Drug Safety Assessment using Bidirectional-LSTM for SMILES Data,"Computational methods are useful in accelerating the pace of drug discovery.
Drug discovery carries several steps such as target identification and
validation, lead discovery, and lead optimisation etc., In the phase of lead
optimisation, the absorption, distribution, metabolism, excretion, and toxicity
properties of lead compounds are assessed. To address the issue of predicting
toxicity and solubility in the lead compounds, represented in Simplified
Molecular Input Line Entry System (SMILES) notation. Among the different
approaches that work on SMILES data, the proposed model was built using a
sequence-based approach. The proposed Bi-Directional Long Short Term Memory
(BiLSTM) is a variant of Recurrent Neural Network (RNN) that processes input
molecular sequences for the comprehensive examination of the structural
features of molecules from both forward and backward directions. The proposed
work aims to understand the sequential patterns encoded in the SMILES strings,
which are then utilised for predicting the toxicity of the molecules. The
proposed model on the ClinTox dataset surpasses previous approaches such as
Trimnet and Pre-training Graph neural networks(GNN) by achieving a ROC accuracy
of 0.96. BiLSTM outperforms the previous model on FreeSolv dataset with a low
RMSE value of 1.22 in solubility prediction.",http://arxiv.org/abs/2407.18919v1
2,Toxicity Detection in Drug Candidates using Simplified Molecular-Input Line-Entry System,"The need for analysis of toxicity in new drug candidates and the requirement
of doing it fast have asked the consideration of scientists towards the use of
artificial intelligence tools to examine toxicity levels and to develop models
to a degree where they can be used commercially to measure toxicity levels
efficiently in upcoming drugs. Artificial Intelligence based models can be used
to predict the toxic nature of a chemical using Quantitative Structure Activity
Relationship techniques. Convolutional Neural Network models have demonstrated
great outcomes in predicting the qualitative analysis of chemicals in order to
determine the toxicity. This paper goes for the study of Simplified Molecular
Input Line-Entry System (SMILES) as a parameter to develop Long short term
memory (LSTM) based models in order to examine the toxicity of a molecule and
the degree to which the need can be fulfilled for practical use alongside its
future outlooks for the purpose of real world applications.",http://arxiv.org/abs/2101.10831v1
3,SMILES-Mamba: Chemical Mamba Foundation Models for Drug ADMET Prediction,"In drug discovery, predicting the absorption, distribution, metabolism,
excretion, and toxicity (ADMET) properties of small-molecule drugs is critical
for ensuring safety and efficacy. However, the process of accurately predicting
these properties is often resource-intensive and requires extensive
experimental data. To address this challenge, we propose SMILES-Mamba, a
two-stage model that leverages both unlabeled and labeled data through a
combination of self-supervised pretraining and fine-tuning strategies. The
model first pre-trains on a large corpus of unlabeled SMILES strings to capture
the underlying chemical structure and relationships, before being fine-tuned on
smaller, labeled datasets specific to ADMET tasks. Our results demonstrate that
SMILES-Mamba exhibits competitive performance across 22 ADMET datasets,
achieving the highest score in 14 tasks, highlighting the potential of
self-supervised learning in improving molecular property prediction. This
approach not only enhances prediction accuracy but also reduces the dependence
on large, labeled datasets, offering a promising direction for future research
in drug discovery.",http://arxiv.org/abs/2408.05696v1
4,Network-principled deep generative models for designing drug combinations as graph sets,"Combination therapy has shown to improve therapeutic efficacy while reducing
side effects. Importantly, it has become an indispensable strategy to overcome
resistance in antibiotics, anti-microbials, and anti-cancer drugs. Facing
enormous chemical space and unclear design principles for small-molecule
combinations, the computational drug-combination design has not seen generative
models to meet its potential to accelerate resistance-overcoming drug
combination discovery. We have developed the first deep generative model for
drug combination design, by jointly embedding graph-structured domain knowledge
and iteratively training a reinforcement learning-based chemical graph-set
designer. First, we have developed Hierarchical Variational Graph Auto-Encoders
(HVGAE) trained end-to-end to jointly embed gene-gene, gene-disease, and
disease-disease networks. Novel attentional pooling is introduced here for
learning disease-representations from associated genes' representations.
Second, targeting diseases in learned representations, we have recast the
drug-combination design problem as graph-set generation and developed a deep
learning-based model with novel rewards. Specifically, besides chemical
validity rewards, we have introduced a novel generative adversarial award,
being generalized sliced Wasserstein, for chemically diverse molecules with
distributions similar to known drugs. We have also designed a network
principle-based reward for drug combinations. Numerical results indicate that,
compared to graph embedding methods, HVGAE learns more informative and
generalizable disease representations. Case studies on four diseases show that
network-principled drug combinations tend to have low toxicity. The generated
drug combinations collectively cover the disease module similar to FDA-approved
drug combinations and could potentially suggest novel systems-pharmacology
strategies.",http://arxiv.org/abs/2004.07782v2
5,SMILES2Vec: An Interpretable General-Purpose Deep Neural Network for Predicting Chemical Properties,"Chemical databases store information in text representations, and the SMILES
format is a universal standard used in many cheminformatics software. Encoded
in each SMILES string is structural information that can be used to predict
complex chemical properties. In this work, we develop SMILES2vec, a deep RNN
that automatically learns features from SMILES to predict chemical properties,
without the need for additional explicit feature engineering. Using Bayesian
optimization methods to tune the network architecture, we show that an
optimized SMILES2vec model can serve as a general-purpose neural network for
predicting distinct chemical properties including toxicity, activity,
solubility and solvation energy, while also outperforming contemporary MLP
neural networks that uses engineered features. Furthermore, we demonstrate
proof-of-concept of interpretability by developing an explanation mask that
localizes on the most important characters used in making a prediction. When
tested on the solubility dataset, it identified specific parts of a chemical
that is consistent with established first-principles knowledge with an accuracy
of 88%. Our work demonstrates that neural networks can learn technically
accurate chemical concept and provide state-of-the-art accuracy, making
interpretable deep neural networks a useful tool of relevance to the chemical
industry.",http://arxiv.org/abs/1712.02034v2
6,Toxicity Prediction by Multimodal Deep Learning,"Prediction of toxicity levels of chemical compounds is an important issue in
Quantitative Structure-Activity Relationship (QSAR) modeling. Although toxicity
prediction has achieved significant progress in recent times through deep
learning, prediction accuracy levels obtained by even very recent methods are
not yet very high. We propose a multimodal deep learning method using multiple
heterogeneous neural network types and data representations. We represent
chemical compounds by strings, images, and numerical features. We train fully
connected, convolutional, and recurrent neural networks and their ensembles.
Each data representation or neural network type has its own strengths and
weaknesses. Our motivation is to obtain a collective performance that could go
beyond individual performance of each data representation or each neural
network type. On a standard toxicity benchmark, our proposed method obtains
significantly better accuracy levels than that by the state-of-the-art toxicity
prediction methods.",http://arxiv.org/abs/1907.08333v1
7,Accurate Clinical Toxicity Prediction using Multi-task Deep Neural Nets and Contrastive Molecular Explanations,"Explainable ML for molecular toxicity prediction is a promising approach for
efficient drug development and chemical safety. A predictive ML model of
toxicity can reduce experimental cost and time while mitigating ethical
concerns by significantly reducing animal and clinical testing. Herein, we use
a deep learning framework for simultaneously modeling in vitro, in vivo, and
clinical toxicity data. Two different molecular input representations are used:
Morgan fingerprints and pre-training SMILES embeddings. A multi-task deep
learning model accurately predicts toxicity for all endpoints, including
clinical, as indicated by AUROC and balanced accuracy. In particular, SMILES
embeddings as input to the multi-task model improved clinical toxicity
predictions compared to existing models in MoleculeNet benchmark. Additionally,
our multi-task approach is comprehensive in the sense that it is comparable to
state-of-the-art approaches for specific endpoints in in vitro, in vivo and
clinical platforms. Through both the multi-task model and transfer learning, we
were able to indicate the minimal need of in vivo data for clinical toxicity
predictions. To provide confidence and explain the model's predictions, we
adapt a post-hoc contrastive explanation method that returns pertinent positive
and pertinent negative features, which correspond well to known mutagenic and
reactive toxicophores, such as unsubstituted bonded heteroatoms, aromatic
amines, and Michael receptors. Furthermore, toxicophore recovery by pertinent
feature analysis captures more of the in vitro (53%) and in vivo (56%), rather
than of the clinical (8%), endpoints, and indeed uncovers a preference in known
toxicophore data towards in vitro and in vivo experimental data. To our
knowledge, this is the first contrastive explanation, using both present and
absent substructures, for predictions of clinical and in vivo molecular
toxicity.",http://arxiv.org/abs/2204.06614v1
8,CogMol: Target-Specific and Selective Drug Design for COVID-19 Using Deep Generative Models,"The novel nature of SARS-CoV-2 calls for the development of efficient de novo
drug design approaches. In this study, we propose an end-to-end framework,
named CogMol (Controlled Generation of Molecules), for designing new drug-like
small molecules targeting novel viral proteins with high affinity and
off-target selectivity. CogMol combines adaptive pre-training of a molecular
SMILES Variational Autoencoder (VAE) and an efficient multi-attribute
controlled sampling scheme that uses guidance from attribute predictors trained
on latent features. To generate novel and optimal drug-like molecules for
unseen viral targets, CogMol leverages a protein-molecule binding affinity
predictor that is trained using SMILES VAE embeddings and protein sequence
embeddings learned unsupervised from a large corpus. CogMol framework is
applied to three SARS-CoV-2 target proteins: main protease, receptor-binding
domain of the spike protein, and non-structural protein 9 replicase. The
generated candidates are novel at both molecular and chemical scaffold levels
when compared to the training data. CogMol also includes insilico screening for
assessing toxicity of parent molecules and their metabolites with a multi-task
toxicity classifier, synthetic feasibility with a chemical retrosynthesis
predictor, and target structure binding with docking simulations. Docking
reveals favorable binding of generated molecules to the target protein
structure, where 87-95 % of high affinity molecules showed docking free energy
< -6 kcal/mol. When compared to approved drugs, the majority of designed
compounds show low parent molecule and metabolite toxicity and high synthetic
feasibility. In summary, CogMol handles multi-constraint design of
synthesizable, low-toxic, drug-like molecules with high target specificity and
selectivity, and does not need target-dependent fine-tuning of the framework or
target structure information.",http://arxiv.org/abs/2004.01215v2
9,PotentialNet for Molecular Property Prediction,"The arc of drug discovery entails a multiparameter optimization problem
spanning vast length scales. They key parameters range from solubility
(angstroms) to protein-ligand binding (nanometers) to in vivo toxicity
(meters). Through feature learning---instead of feature engineering---deep
neural networks promise to outperform both traditional physics-based and
knowledge-based machine learning models for predicting molecular properties
pertinent to drug discovery. To this end, we present the PotentialNet family of
graph convolutions. These models are specifically designed for and achieve
state-of-the-art performance for protein-ligand binding affinity. We further
validate these deep neural networks by setting new standards of performance in
several ligand-based tasks. In parallel, we introduce a new metric, the
Regression Enrichment Factor $EF_\chi^{(R)}$, to measure the early enrichment
of computational models for chemical data. Finally, we introduce a
cross-validation strategy based on structural homology clustering that can more
accurately measure model generalizability, which crucially distinguishes the
aims of machine learning for drug discovery from standard machine learning
tasks.",http://arxiv.org/abs/1803.04465v2
