PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34471498","A review on machine learning approaches and trends in drug discovery","Carracedo-Reboredo P, Liñares-Blanco J, Rodríguez-Fernández N, Cedrón F, Novoa FJ, Carballal A, Maojo V, Pazos A, Fernandez-Lozano C.","Comput Struct Biotechnol J. 2021 Aug 12;19:4538-4558. doi: 10.1016/j.csbj.2021.08.011. eCollection 2021.","Carracedo-Reboredo P","Comput Struct Biotechnol J","2021","2021/09/02","PMC8387781","","10.1016/j.csbj.2021.08.011"
"38123686","Discovery of a structural class of antibiotics with explainable deep learning","Wong F, Zheng EJ, Valeri JA, Donghia NM, Anahtar MN, Omori S, Li A, Cubillos-Ruiz A, Krishnan A, Jin W, Manson AL, Friedrichs J, Helbig R, Hajian B, Fiejtek DK, Wagner FF, Soutter HH, Earl AM, Stokes JM, Renner LD, Collins JJ.","Nature. 2024 Feb;626(7997):177-185. doi: 10.1038/s41586-023-06887-8. Epub 2023 Dec 20.","Wong F","Nature","2024","2023/12/20","PMC10866013","NIHMS1964892","10.1038/s41586-023-06887-8"
"37729872","Spatially aware deep learning reveals tumor heterogeneity patterns that encode distinct kidney cancer states","Nyman J, Denize T, Bakouny Z, Labaki C, Titchen BM, Bi K, Hari SN, Rosenthal J, Mehta N, Jiang B, Sharma B, Felt K, Umeton R, Braun DA, Rodig S, Choueiri TK, Signoretti S, Van Allen EM.","Cell Rep Med. 2023 Sep 19;4(9):101189. doi: 10.1016/j.xcrm.2023.101189.","Nyman J","Cell Rep Med","2023","2023/09/20","PMC10518628","","10.1016/j.xcrm.2023.101189"
"34838140","Chemical toxicity prediction based on semi-supervised learning and graph convolutional neural network","Chen J, Si YW, Un CW, Siu SWI.","J Cheminform. 2021 Nov 27;13(1):93. doi: 10.1186/s13321-021-00570-8.","Chen J","J Cheminform","2021","2021/11/28","PMC8627024","","10.1186/s13321-021-00570-8"
"37562046","Recent Advances in Toxicity Prediction: Applications of Deep Graph Learning","Miao Y, Ma H, Huang J.","Chem Res Toxicol. 2023 Aug 21;36(8):1206-1226. doi: 10.1021/acs.chemrestox.2c00384. Epub 2023 Aug 10.","Miao Y","Chem Res Toxicol","2023","2023/08/10","","","10.1021/acs.chemrestox.2c00384"
"34043352","Deep Learning-Based Conformal Prediction of Toxicity","Zhang J, Norinder U, Svensson F.","J Chem Inf Model. 2021 Jun 28;61(6):2648-2657. doi: 10.1021/acs.jcim.1c00208. Epub 2021 May 27.","Zhang J","J Chem Inf Model","2021","2021/05/27","","","10.1021/acs.jcim.1c00208"
"36615411","Traditional Machine and Deep Learning for Predicting Toxicity Endpoints","Norinder U.","Molecules. 2022 Dec 26;28(1):217. doi: 10.3390/molecules28010217.","Norinder U","Molecules","2022","2023/01/08","PMC9822478","","10.3390/molecules28010217"
"36365881","Predicting Chemical Carcinogens Using a Hybrid Neural Network Deep Learning Method","Limbu S, Dakshanamurthy S.","Sensors (Basel). 2022 Oct 26;22(21):8185. doi: 10.3390/s22218185.","Limbu S","Sensors (Basel)","2022","2022/11/11","PMC9653664","","10.3390/s22218185"
"34472609","GraphSynergy: a network-inspired deep learning model for anticancer drug combination prediction","Yang J, Xu Z, Wu WKK, Chu Q, Zhang Q.","J Am Med Inform Assoc. 2021 Oct 12;28(11):2336-2345. doi: 10.1093/jamia/ocab162.","Yang J","J Am Med Inform Assoc","2021","2021/09/02","PMC8510276","","10.1093/jamia/ocab162"
"36711761","Functional microRNA-Targeting Drug Discovery by Graph-Based Deep Learning","Arshadi AK, Salem M, Karner H, Garcia K, Arab A, Yuan JS, Goodarzi H.","bioRxiv [Preprint]. 2023 Jan 16:2023.01.13.524005. doi: 10.1101/2023.01.13.524005.","Arshadi AK","bioRxiv","2023","2023/01/30","PMC9882104","","10.1101/2023.01.13.524005"
"33807714","Multi-Drug Featurization and Deep Learning Improve Patient-Specific Predictions of Adverse Events","Anastopoulos IN, Herczeg CK, Davis KN, Dixit AC.","Int J Environ Res Public Health. 2021 Mar 5;18(5):2600. doi: 10.3390/ijerph18052600.","Anastopoulos IN","Int J Environ Res Public Health","2021","2021/04/03","PMC7967515","","10.3390/ijerph18052600"
"37701072","hERG-toxicity prediction using traditional machine learning and advanced deep learning techniques","Ylipää E, Chavan S, Bånkestad M, Broberg J, Glinghammar B, Norinder U, Cotgreave I.","Curr Res Toxicol. 2023 Sep 1;5:100121. doi: 10.1016/j.crtox.2023.100121. eCollection 2023.","Ylipää E","Curr Res Toxicol","2023","2023/09/13","PMC10493507","","10.1016/j.crtox.2023.100121"
"34571534","Representation of molecules for drug response prediction","An X, Chen X, Yi D, Li H, Guan Y.","Brief Bioinform. 2022 Jan 17;23(1):bbab393. doi: 10.1093/bib/bbab393.","An X","Brief Bioinform","2022","2021/09/27","PMC8769696","","10.1093/bib/bbab393"
"37690056","Equivariant Graph Neural Networks for Toxicity Prediction","Cremer J, Medrano Sandonas L, Tkatchenko A, Clevert DA, De Fabritiis G.","Chem Res Toxicol. 2023 Sep 10;36(10):1561-73. doi: 10.1021/acs.chemrestox.3c00032. Online ahead of print.","Cremer J","Chem Res Toxicol","2023","2023/09/10","PMC10583285","","10.1021/acs.chemrestox.3c00032"
"36725679","Co-model for chemical toxicity prediction based on multi-task deep learning","Yuan Li Y, Chen L, Pu C, Zang C, Yan Y, Chen Y, Zhang Y, Liu H.","Mol Inform. 2023 May;42(5):e2200257. doi: 10.1002/minf.202200257. Epub 2023 Mar 17.","Yuan Li Y","Mol Inform","2023","2023/02/01","","","10.1002/minf.202200257"
"37475158","Knowledge graph aids comprehensive explanation of drug and chemical toxicity","Hao Y, Romano JD, Moore JH.","CPT Pharmacometrics Syst Pharmacol. 2023 Aug;12(8):1072-1079. doi: 10.1002/psp4.12975. Epub 2023 Jul 20.","Hao Y","CPT Pharmacometrics Syst Pharmacol","2023","2023/07/21","PMC10431039","","10.1002/psp4.12975"
"36410391","Few-Shot Learning for Low-Data Drug Discovery","Vella D, Ebejer JP.","J Chem Inf Model. 2023 Jan 9;63(1):27-42. doi: 10.1021/acs.jcim.2c00779. Epub 2022 Nov 21.","Vella D","J Chem Inf Model","2023","2022/11/21","","","10.1021/acs.jcim.2c00779"
"32657357","Network-principled deep generative models for designing drug combinations as graph sets","Karimi M, Hasanzadeh A, Shen Y.","Bioinformatics. 2020 Jul 1;36(Suppl_1):i445-i454. doi: 10.1093/bioinformatics/btaa317.","Karimi M","Bioinformatics","2020","2020/07/14","PMC7355302","","10.1093/bioinformatics/btaa317"
"38011648","deepFPlearn +: enhancing toxicity prediction across the chemical universe using graph neural networks","Soulios K, Scheibe P, Bernt M, Hackermüller J, Schor J.","Bioinformatics. 2023 Dec 1;39(12):btad713. doi: 10.1093/bioinformatics/btad713.","Soulios K","Bioinformatics","2023","2023/11/27","PMC10724847","","10.1093/bioinformatics/btad713"
"34905348","Uncertainty-Informed Deep Transfer Learning of Perfluoroalkyl and Polyfluoroalkyl Substance Toxicity","Feinstein J, Sivaraman G, Picel K, Peters B, Vázquez-Mayagoitia Á, Ramanathan A, MacDonell M, Foster I, Yan E.","J Chem Inf Model. 2021 Dec 27;61(12):5793-5803. doi: 10.1021/acs.jcim.1c01204. Epub 2021 Dec 14.","Feinstein J","J Chem Inf Model","2021","2021/12/14","","","10.1021/acs.jcim.1c01204"
"36114278","Prediction of drug-drug interaction events using graph neural networks based feature extraction","Al-Rabeah MH, Lakizadeh A.","Sci Rep. 2022 Sep 16;12(1):15590. doi: 10.1038/s41598-022-19999-4.","Al-Rabeah MH","Sci Rep","2022","2022/09/16","PMC9481536","","10.1038/s41598-022-19999-4"
"34325627","Trends in Deep Learning for Property-driven Drug Design","Born J, Manica M.","Curr Med Chem. 2021;28(38):7862-7886. doi: 10.2174/0929867328666210729115728.","Born J","Curr Med Chem","2021","2021/07/30","","","10.2174/0929867328666210729115728"
"38264717","Functional microRNA-targeting drug discovery by graph-based deep learning","Keshavarzi Arshadi A, Salem M, Karner H, Garcia K, Arab A, Yuan JS, Goodarzi H.","Patterns (N Y). 2024 Jan 3;5(1):100909. doi: 10.1016/j.patter.2023.100909. eCollection 2024 Jan 12.","Keshavarzi Arshadi A","Patterns (N Y)","2024","2024/01/24","PMC10801238","","10.1016/j.patter.2023.100909"
"36966203","Accurate clinical toxicity prediction using multi-task deep neural nets and contrastive molecular explanations","Sharma B, Chenthamarakshan V, Dhurandhar A, Pereira S, Hendler JA, Dordick JS, Das P.","Sci Rep. 2023 Mar 25;13(1):4908. doi: 10.1038/s41598-023-31169-8.","Sharma B","Sci Rep","2023","2023/03/25","PMC10039880","","10.1038/s41598-023-31169-8"
"36659148","Graph attention convolutional neural network model for chemical poisoning of honey bees' prediction","Wang F, Yang JF, Wang MY, Jia CY, Shi XX, Hao GF, Yang GF.","Sci Bull (Beijing). 2020 Jul 30;65(14):1184-1191. doi: 10.1016/j.scib.2020.04.006. Epub 2020 Apr 3.","Wang F","Sci Bull (Beijing)","2020","2023/01/20","","","10.1016/j.scib.2020.04.006"
"38634808","Deep-PK: deep learning for small molecule pharmacokinetic and toxicity prediction","Myung Y, de Sá AGC, Ascher DB.","Nucleic Acids Res. 2024 Jul 5;52(W1):W469-W475. doi: 10.1093/nar/gkae254.","Myung Y","Nucleic Acids Res","2024","2024/04/18","PMC11223837","","10.1093/nar/gkae254"
"36472475","Structural Analysis and Prediction of Hematotoxicity Using Deep Learning Approaches","Long TZ, Shi SH, Liu S, Lu AP, Liu ZQ, Li M, Hou TJ, Cao DS.","J Chem Inf Model. 2023 Jan 9;63(1):111-125. doi: 10.1021/acs.jcim.2c01088. Epub 2022 Dec 6.","Long TZ","J Chem Inf Model","2023","2022/12/06","","","10.1021/acs.jcim.2c01088"
"38540674","SynerGNet: A Graph Neural Network Model to Predict Anticancer Drug Synergy","Liu M, Srivastava G, Ramanujam J, Brylinski M.","Biomolecules. 2024 Feb 21;14(3):253. doi: 10.3390/biom14030253.","Liu M","Biomolecules","2024","2024/03/28","PMC10967862","","10.3390/biom14030253"
"35566354","Prediction of Drug-Drug Interaction Using an Attention-Based Graph Neural Network on Drug Molecular Graphs","Feng YH, Zhang SW.","Molecules. 2022 May 7;27(9):3004. doi: 10.3390/molecules27093004.","Feng YH","Molecules","2022","2022/05/14","PMC9105425","","10.3390/molecules27093004"
"36277237","Recent computational drug repositioning strategies against SARS-CoV-2","Lu L, Qin J, Chen J, Yu N, Miyano S, Deng Z, Li C.","Comput Struct Biotechnol J. 2022;20:5713-5728. doi: 10.1016/j.csbj.2022.10.017. Epub 2022 Oct 17.","Lu L","Comput Struct Biotechnol J","2022","2022/10/24","PMC9575573","","10.1016/j.csbj.2022.10.017"
"34427296","Learning to SMILES: BAN-based strategies to improve latent representation learning from molecules","Wu CK, Zhang XC, Yang ZJ, Lu AP, Hou TJ, Cao DS.","Brief Bioinform. 2021 Nov 5;22(6):bbab327. doi: 10.1093/bib/bbab327.","Wu CK","Brief Bioinform","2021","2021/08/24","","","10.1093/bib/bbab327"
"35653511","In silico prediction of chemical aquatic toxicity by multiple machine learning and deep learning approaches","Xu M, Yang H, Liu G, Tang Y, Li W.","J Appl Toxicol. 2022 Nov;42(11):1766-1776. doi: 10.1002/jat.4354. Epub 2022 Jun 26.","Xu M","J Appl Toxicol","2022","2022/06/02","","","10.1002/jat.4354"
"36654861","Supervised chemical graph mining improves drug-induced liver injury prediction","Lim S, Kim Y, Gu J, Lee S, Shin W, Kim S.","iScience. 2022 Dec 26;26(1):105677. doi: 10.1016/j.isci.2022.105677. eCollection 2023 Jan 20.","Lim S","iScience","2022","2023/01/19","PMC9840932","","10.1016/j.isci.2022.105677"
"32972364","DPDDI: a deep predictor for drug-drug interactions","Feng YH, Zhang SW, Shi JY.","BMC Bioinformatics. 2020 Sep 24;21(1):419. doi: 10.1186/s12859-020-03724-x.","Feng YH","BMC Bioinformatics","2020","2020/09/25","PMC7513481","","10.1186/s12859-020-03724-x"
"30555904","PotentialNet for Molecular Property Prediction","Feinberg EN, Sur D, Wu Z, Husic BE, Mai H, Li Y, Sun S, Yang J, Ramsundar B, Pande VS.","ACS Cent Sci. 2018 Nov 28;4(11):1520-1530. doi: 10.1021/acscentsci.8b00507. Epub 2018 Nov 2.","Feinberg EN","ACS Cent Sci","2018","2018/12/18","PMC6276035","","10.1021/acscentsci.8b00507"
"37907030","Drug-target affinity prediction method based on multi-scale information interaction and graph optimization","Zhu Z, Yao Z, Zheng X, Qi G, Li Y, Mazur N, Gao X, Gong Y, Cong B.","Comput Biol Med. 2023 Dec;167:107621. doi: 10.1016/j.compbiomed.2023.107621. Epub 2023 Oct 29.","Zhu Z","Comput Biol Med","2023","2023/10/31","","","10.1016/j.compbiomed.2023.107621"
"35904544","Multidrug representation learning based on pretraining model and molecular graph for drug interaction and combination prediction","Ren S, Yu L, Gao L.","Bioinformatics. 2022 Sep 15;38(18):4387-4394. doi: 10.1093/bioinformatics/btac538.","Ren S","Bioinformatics","2022","2022/07/29","","","10.1093/bioinformatics/btac538"
"31460798","Could deep learning in neural networks improve the QSAR models?","Gini G, Zanoli F, Gamba A, Raitano G, Benfenati E.","SAR QSAR Environ Res. 2019 Sep;30(9):617-642. doi: 10.1080/1062936X.2019.1650827. Epub 2019 Aug 28.","Gini G","SAR QSAR Environ Res","2019","2019/08/29","","","10.1080/1062936X.2019.1650827"
"38702021","A deep learning based multi-model approach for predicting drug-like chemical compound's toxicity","Saravanan KM, Wan JF, Dai L, Zhang J, Zhang JZH, Zhang H.","Methods. 2024 Jun;226:164-175. doi: 10.1016/j.ymeth.2024.04.020. Epub 2024 May 1.","Saravanan KM","Methods","2024","2024/05/03","","","10.1016/j.ymeth.2024.04.020"
"38322350","Transfer learning enhanced graph neural network for aldehyde oxidase metabolism prediction and its experimental application","Xiong J, Cui R, Li Z, Zhang W, Zhang R, Fu Z, Liu X, Li Z, Chen K, Zheng M.","Acta Pharm Sin B. 2024 Feb;14(2):623-634. doi: 10.1016/j.apsb.2023.10.008. Epub 2023 Oct 20.","Xiong J","Acta Pharm Sin B","2024","2024/02/07","PMC10840476","","10.1016/j.apsb.2023.10.008"
"32446957","TOP: A deep mixture representation learning method for boosting molecular toxicity prediction","Peng Y, Zhang Z, Jiang Q, Guan J, Zhou S.","Methods. 2020 Jul 1;179:55-64. doi: 10.1016/j.ymeth.2020.05.013. Epub 2020 May 21.","Peng Y","Methods","2020","2020/05/25","","","10.1016/j.ymeth.2020.05.013"
"36124766","FP-GNN: a versatile deep learning architecture for enhanced molecular property prediction","Cai H, Zhang H, Zhao D, Wu J, Wang L.","Brief Bioinform. 2022 Nov 19;23(6):bbac408. doi: 10.1093/bib/bbac408.","Cai H","Brief Bioinform","2022","2022/09/20","","","10.1093/bib/bbac408"
"31777246","Prediction of Adverse Drug Reactions by Combining Biomedical Tripartite Network and Graph Representation Model","Xue R, Liao J, Shao X, Han K, Long J, Shao L, Ai N, Fan X.","Chem Res Toxicol. 2020 Jan 21;33(1):202-210. doi: 10.1021/acs.chemrestox.9b00238. Epub 2019 Dec 13.","Xue R","Chem Res Toxicol","2020","2019/11/29","","","10.1021/acs.chemrestox.9b00238"
"30106687","End-to-End Representation Learning for Chemical-Chemical Interaction Prediction","Kwon S, Yoon S.","IEEE/ACM Trans Comput Biol Bioinform. 2019 Sep-Oct;16(5):1436-1447. doi: 10.1109/TCBB.2018.2864149. Epub 2018 Aug 7.","Kwon S","IEEE/ACM Trans Comput Biol Bioinform","2019","2018/08/15","","","10.1109/TCBB.2018.2864149"
"37093028","In silico prediction of hERG blockers using machine learning and deep learning approaches","Chen Y, Yu X, Li W, Tang Y, Liu G.","J Appl Toxicol. 2023 Oct;43(10):1462-1475. doi: 10.1002/jat.4477. Epub 2023 May 6.","Chen Y","J Appl Toxicol","2023","2023/04/24","","","10.1002/jat.4477"
"35694454","Global Analysis of Deep Learning Prediction Using Large-Scale In-House Kinome-Wide Profiling Data","Moriwaki H, Saito S, Matsumoto T, Serizawa T, Kunimoto R.","ACS Omega. 2022 May 23;7(22):18374-18381. doi: 10.1021/acsomega.2c00664. eCollection 2022 Jun 7.","Moriwaki H","ACS Omega","2022","2022/06/13","PMC9178758","","10.1021/acsomega.2c00664"
"35785627","GraphDPA: Predicting drug-pathway associations by graph convolutional networks","Zhang ZR, Jiang ZR.","Comput Biol Chem. 2022 Aug;99:107719. doi: 10.1016/j.compbiolchem.2022.107719. Epub 2022 Jun 24.","Zhang ZR","Comput Biol Chem","2022","2022/07/05","","","10.1016/j.compbiolchem.2022.107719"
"36592051","CasANGCL: pre-training and fine-tuning model based on cascaded attention network and graph contrastive learning for molecular property prediction","Zheng Z, Tan Y, Wang H, Yu S, Liu T, Liang C.","Brief Bioinform. 2023 Jan 19;24(1):bbac566. doi: 10.1093/bib/bbac566.","Zheng Z","Brief Bioinform","2023","2023/01/02","","","10.1093/bib/bbac566"
"37300507","In Silico Prediction of Human Organ Toxicity via Artificial Intelligence Methods","Hu Y, Ren Q, Liu X, Gao L, Xiao L, Yu W.","Chem Res Toxicol. 2023 Jul 17;36(7):1044-1054. doi: 10.1021/acs.chemrestox.2c00411. Epub 2023 Jun 10.","Hu Y","Chem Res Toxicol","2023","2023/06/10","","","10.1021/acs.chemrestox.2c00411"
"37960886","Attention Mechanism-Based Graph Neural Network Model for Effective Activity Prediction of SARS-CoV-2 Main Protease Inhibitors: Application to Drug Repurposing as Potential COVID-19 Therapy","Wu Y, Li K, Li M, Pu X, Guo Y.","J Chem Inf Model. 2023 Nov 27;63(22):7011-7031. doi: 10.1021/acs.jcim.3c01280. Epub 2023 Nov 13.","Wu Y","J Chem Inf Model","2023","2023/11/14","","","10.1021/acs.jcim.3c01280"
"35501680","Exploration of chemical space with partial labeled noisy student self-training and self-supervised graph embedding","Liu Y, Lim H, Xie L.","BMC Bioinformatics. 2022 May 2;23(Suppl 3):158. doi: 10.1186/s12859-022-04681-3.","Liu Y","BMC Bioinformatics","2022","2022/05/03","PMC9063120","","10.1186/s12859-022-04681-3"
"38409892","ToxMPNN: A deep learning model for small molecule toxicity prediction","Zhou Y, Ning C, Tan Y, Li Y, Wang J, Shu Y, Liang S, Liu Z, Wang Y.","J Appl Toxicol. 2024 Jul;44(7):953-964. doi: 10.1002/jat.4591. Epub 2024 Feb 26.","Zhou Y","J Appl Toxicol","2024","2024/02/27","","","10.1002/jat.4591"
"36597997","Transformer-based deep learning method for optimizing ADMET properties of lead compounds","Yang L, Jin C, Yang G, Bing Z, Huang L, Niu Y, Yang L.","Phys Chem Chem Phys. 2023 Jan 18;25(3):2377-2385. doi: 10.1039/d2cp05332b.","Yang L","Phys Chem Chem Phys","2023","2023/01/04","","","10.1039/d2cp05332b"
"37656906","Descriptor-Free Deep Learning QSAR Model for the Fraction Unbound in Human Plasma","Riedl M, Mukherjee S, Gauthier M.","Mol Pharm. 2023 Oct 2;20(10):4984-4993. doi: 10.1021/acs.molpharmaceut.3c00129. Epub 2023 Sep 1.","Riedl M","Mol Pharm","2023","2023/09/01","","","10.1021/acs.molpharmaceut.3c00129"
"38710671","DeepARV: ensemble deep learning to predict drug-drug interaction of clinical relevance with antiretroviral therapy","Pham T, Ghafoor M, Grañana-Castillo S, Marzolini C, Gibbons S, Khoo S, Chiong J, Wang D, Siccardi M.","NPJ Syst Biol Appl. 2024 May 6;10(1):48. doi: 10.1038/s41540-024-00374-0.","Pham T","NPJ Syst Biol Appl","2024","2024/05/06","PMC11074332","","10.1038/s41540-024-00374-0"
"38889277","OLB-AC: toward optimizing ligand bioactivities through deep graph learning and activity cliffs","Yin Y, Hu H, Yang J, Ye C, Goh WWB, Kong AW, Wu J.","Bioinformatics. 2024 Jun 3;40(6):btae365. doi: 10.1093/bioinformatics/btae365.","Yin Y","Bioinformatics","2024","2024/06/18","PMC11208724","","10.1093/bioinformatics/btae365"
"37569341","A Benchmark Study of Graph Models for Molecular Acute Toxicity Prediction","Ketkar R, Liu Y, Wang H, Tian H.","Int J Mol Sci. 2023 Jul 26;24(15):11966. doi: 10.3390/ijms241511966.","Ketkar R","Int J Mol Sci","2023","2023/08/12","PMC10418346","","10.3390/ijms241511966"
"37028032","Meta Learning With Graph Attention Networks for Low-Data Drug Discovery","Lv Q, Chen G, Yang Z, Zhong W, Chen CY.","IEEE Trans Neural Netw Learn Syst. 2024 Aug;35(8):11218-11230. doi: 10.1109/TNNLS.2023.3250324. Epub 2024 Aug 5.","Lv Q","IEEE Trans Neural Netw Learn Syst","2024","2023/04/07","","","10.1109/TNNLS.2023.3250324"
"34877907","Determining similarities of COVID-19 - lung cancer drugs and affinity binding mode analysis by graph neural network-based GEFA method","Budak C, Mençik V, Gider V.","J Biomol Struct Dyn. 2023 Feb;41(2):659-671. doi: 10.1080/07391102.2021.2010601. Epub 2021 Dec 8.","Budak C","J Biomol Struct Dyn","2023","2021/12/08","","","10.1080/07391102.2021.2010601"
"33652992","Androgen Receptor Binding Category Prediction with Deep Neural Networks and Structure-, Ligand-, and Statistically Based Features","García-Sosa AT.","Molecules. 2021 Feb 26;26(5):1285. doi: 10.3390/molecules26051285.","García-Sosa AT","Molecules","2021","2021/03/03","PMC7956632","","10.3390/molecules26051285"
"31661955","Deep Transferable Compound Representation across Domains and Tasks for Low Data Drug Discovery","Abbasi K, Poso A, Ghasemi J, Amanlou M, Masoudi-Nejad A.","J Chem Inf Model. 2019 Nov 25;59(11):4528-4539. doi: 10.1021/acs.jcim.9b00626. Epub 2019 Nov 8.","Abbasi K","J Chem Inf Model","2019","2019/10/31","","","10.1021/acs.jcim.9b00626"
"32266895","Are 2D fingerprints still valuable for drug discovery?","Gao K, Nguyen DD, Sresht V, Mathiowetz AM, Tu M, Wei GW.","Phys Chem Chem Phys. 2020 Apr 29;22(16):8373-8390. doi: 10.1039/d0cp00305k.","Gao K","Phys Chem Chem Phys","2020","2020/04/09","PMC7224332","NIHMS1583412","10.1039/d0cp00305k"
"35630587","An Algorithm Framework for Drug-Induced Liver Injury Prediction Based on Genetic Algorithm and Ensemble Learning","Yan B, Ye X, Wang J, Han J, Wu L, He S, Liu K, Bo X.","Molecules. 2022 May 12;27(10):3112. doi: 10.3390/molecules27103112.","Yan B","Molecules","2022","2022/05/28","PMC9147181","","10.3390/molecules27103112"
"35561160","Interpretable-ADMET: a web service for ADMET prediction and optimization based on deep neural representation","Wei Y, Li S, Li Z, Wan Z, Lin J.","Bioinformatics. 2022 May 13;38(10):2863-2871. doi: 10.1093/bioinformatics/btac192.","Wei Y","Bioinformatics","2022","2022/05/13","","","10.1093/bioinformatics/btac192"
"29019671","Deep Learning Based Regression and Multiclass Models for Acute Oral Toxicity Prediction with Automatic Chemical Feature Extraction","Xu Y, Pei J, Lai L.","J Chem Inf Model. 2017 Nov 27;57(11):2672-2685. doi: 10.1021/acs.jcim.7b00244. Epub 2017 Oct 27.","Xu Y","J Chem Inf Model","2017","2017/10/12","","","10.1021/acs.jcim.7b00244"
"34864873","Graph2MDA: a multi-modal variational graph embedding model for predicting microbe-drug associations","Deng L, Huang Y, Liu X, Liu H.","Bioinformatics. 2022 Jan 27;38(4):1118-1125. doi: 10.1093/bioinformatics/btab792.","Deng L","Bioinformatics","2022","2021/12/05","","","10.1093/bioinformatics/btab792"
"35752000","Weakly supervised deep learning for prediction of treatment effectiveness on ovarian cancer from histopathology images","Wang CW, Chang CC, Lee YC, Lin YJ, Lo SC, Hsu PC, Liou YA, Wang CH, Chao TK.","Comput Med Imaging Graph. 2022 Jul;99:102093. doi: 10.1016/j.compmedimag.2022.102093. Epub 2022 Jun 16.","Wang CW","Comput Med Imaging Graph","2022","2022/06/25","","","10.1016/j.compmedimag.2022.102093"
"38269610","Multi-scale topology and position feature learning and relationship-aware graph reasoning for prediction of drug-related microbes","Xuan P, Gu J, Cui H, Wang S, Toshiya N, Liu C, Zhang T.","Bioinformatics. 2024 Feb 1;40(2):btae025. doi: 10.1093/bioinformatics/btae025.","Xuan P","Bioinformatics","2024","2024/01/25","PMC10868329","","10.1093/bioinformatics/btae025"
"37000044","Improved GNNs for Log D(7.4) Prediction by Transferring Knowledge from Low-Fidelity Data","Duan YJ, Fu L, Zhang XC, Long TZ, He YH, Liu ZQ, Lu AP, Deng YF, Hsieh CY, Hou TJ, Cao DS.","J Chem Inf Model. 2023 Apr 24;63(8):2345-2359. doi: 10.1021/acs.jcim.2c01564. Epub 2023 Mar 31.","Duan YJ","J Chem Inf Model","2023","2023/03/31","","","10.1021/acs.jcim.2c01564"
"34112777","Algebraic graph-assisted bidirectional transformers for molecular property prediction","Chen D, Gao K, Nguyen DD, Chen X, Jiang Y, Wei GW, Pan F.","Nat Commun. 2021 Jun 10;12(1):3521. doi: 10.1038/s41467-021-23720-w.","Chen D","Nat Commun","2021","2021/06/11","PMC8192505","","10.1038/s41467-021-23720-w"
